film.title	year	imdb	format	languages	NTSC/PAL	duration	source	info	N.	NEW
Ecce Homo – I Sopravvissuti	1968	tt0062923	DVD5	ITA/ENGsub	PAL	1h25m00s	Telecine	none	304	false
Ehi Satana! Prendi la pistola e spara, ritorna Trinidad	1970	tt0242913	DVD5	ITA/ESP	PAL	1h20m19s	DVD	custom mux	547	false
El barón del terror (The Brainiac)	1962	tt0054668	DVD5	ESP/ENGsub	NTSC	1h16m53s	DVD	full DVD + extras	0	false
El Charro de las Calaveras (The Rider of the Skulls)	1965	tt0281713	DVD5	ESP/ENGsub	NTSC	---	DVD	corrected A/R	205	false
El increible profesor Zovek	1972	tt0264708	DVD5	ESP	NTSC	1h15m24s	DVD	full DVD	573	false
El látigo	1978	tt0284281	DVD5	ESP/ENGsub	NTSC	---	VHS	none	199	false
El látigo contra las momias asesinas	1980	tt0341439	DVD5	ESP/ENGsub	PAL	1h20m11s	VHS	none	201	false
El látigo contra Satanás	1979	tt0284280	DVD5	ESP/ENGsub	PAL	1h20m38s	VHS	none	200	false
El monje loco	1984	tt0359708	DVD5	ESP/ENGsub	NTSC	1h16m30s	VHS	none	0	false
El tesoro de Moctezuma	1968	tt0208505	DVD5	ESP	NTSC	1h17m45s	DVD	full DVD + extras	678	false
En büyük yumruk (The biggest punch)	1983	tt0416717	DVD5	TUR/ENGsub	PAL	1h16m56s	VHS	new VHS2DVD transfer	257	false
Equinozio	1971	tt0171272	DVD5	ITA/FREsub	PAL	1h31m24s	Telecine	none	94	false
Ercole, Sansone, Maciste e Ursus gli invincibili	1964	tt0059672	DVD9	ITA/FRE	PAL	1h33m59s	DVD	full DVD + extras	0	false
Eroi all'inferno	1974	tt0070036	DVD5	ITA/ENG	PAL	1h22m46s	DVD	full DVD + extras	0	false
Erotissimo	1969	tt0064297	DVD5	ITA	PAL	1h21m11s	Telecine	none	736	false
Escalation	1968	tt0062938	DVD5	ITA	PAL	1h29m0s	VHS	proper VHS2DVD	180	false
Eva Man (Due sessi in uno)	1980	tt0080701	DVD5	ITA	PAL	1h16m42s	VHS	hardcore version	383	false
Everything Is Terrible! Presents: The Great Satan	2017	tt7493854	DVD9	ENG/	NTSC	1h14m52s	DVD	full DVD + extras	0	false
Ewoks: Tales from the Endor Woods	2004	tt1117537	DVD5	ENG/ENGsub	NTSC	1h28m48s	DVD	feature film from series episodes	532	false
Ewoks: The Haunted Village	1997	tt1117520	DVD5	ENG/ENGsub	NTSC	1h26m45s	DVD	feature film from series episodes	531	false
Fammi male e coprimi di violenza	1972	tt0326624	DVD5	ITA	PAL	1h24m00s	Super8	none	347	false
Faster, Pussycat! Kill! Kill!	1965	tt0059170	DVD5	ITA/ENG	PAL	1h19m53s	Bluray	custom mux from Bluray	554	false
Fate la nanna coscine di pollo	1977	tt0204814	DVD5	ITA	PAL	1h28m52s	Telecine	none	656	false
Fateful Findings	2013	tt2332623	DVD5	ENG	NTSC	1h40m02s	DVD	none	717	false
Fatevi vivi, la polizia non interverrà	1974	tt0195699	DVD5	ITA/ENG	PAL	1h39m34s	VHS	custom mux	369	false
Fermi tutti! È una rapina	1975	tt0208956	DVD5	ITA	PAL	1h32m58s	Telecine	none	409	false
Five Elements Ninja	1982	tt0084921	DVD5	ENG/ZH	NTSC	1h43m15s	DVD	full DVD + extras	721	false
Flash Gordon - Alla conquista di Marte (ep. 01-07)	1938	tt0030138	DVD9	ITA/ENG/	PAL	---	DVD	full DVD	450	false
Flash Gordon - Alla conquista di Marte (ep. 08-15)	1938	tt0030138	DVD9	ITA/ENG/	PAL	---	DVD	full DVD	451	false
Flash Gordon - I conquistatori dell'Universo (ep. 01-06)	1940	tt0032475	DVD9	ITA/ENG/	PAL	---	DVD	full DVD	452	false
Flash Gordon - I conquistatori dell'Universo (ep. 07-12)	1940	tt0032475	DVD9	ITA/ENG/	PAL	---	DVD	full DVD	453	false
Flash Gordon (ep. 01-06)	1936	tt0027623	DVD5	ITA/ENG/	PAL	---	DVD	full DVD	414	false
Flash Gordon (ep. 07-13)	1936	tt0027623	DVD5	ITA/ENG/	PAL	---	DVD	full DVD	415	false
Flashman	1967	tt0061676	DVD5	ITA/ENG/SWEsub	PAL	1h29m00s	DVD	none	46	false
Foodfight!	2012	tt0249516	DVD5	ENG	NTSC	1h31m10s	DVD	none	714	false
For Y'ur Height Only	1981	tt0200642	DVD9	ENG	NTSC	1h26m58s	DVD	[ASIA] full DVD	505	false
Foxy Brown	1974	tt0071517	DVD5	ITA/ENG	PAL	1h27m55s	DVD	full DVD + extras	600	false
Fra' Tazio da Velletri	1973	tt0071526	DVD5	ITA	PAL	---	VHS	none	5	false
Frankenstein all'Italiana	1975	tt0076051	DVD5	ITA	PAL	2h00m28s	Telecine	30mins ca. blank tape	33	false
Frankenstein alla conquista della Terra	1965	tt0059205	DVD5	ITA	PAL	1h33m13s	DVD	[ASIA] full DVD	541	false
Fratello dello spazio	1988	tt0380368	DVD5	ITA	PAL	---	DTT	none	45	false
Frida professione menager	2000	NOimdb	DVD5	ITA	PAL	---	VHS	none	87	false
Fuoco incrociato	1988	tt0198499	DVD5	ITA	PAL	1h28m24s	TV	none	156	false
Furia gialla	1971	tt0077478	DVD5	ITA	PAL	---	DTT	[ASIA] full DVD	769	false
Future cops	1994	tt0106545	DVD5	ZH/ENGsub	NTSC	1h34m20s	DVD	[ASIA] full DVD	118	false
Gangsters '70	1968	tt0063011	DVD5	ITA	PAL	1h36m41s	DVD + VHS	custom uncut mux	0	false
Gay Salomè	1980	tt0210066	DVD5	ITA	PAL	1h18m07s	VHS	none	140	false
Genova a mano armata	1976	tt0076387	DVD5	ITA/SWEhardsub	PAL	1h26m06s	VHS	custom uncut mux	504	false
Get Mean	1975	tt0074570	DVD9	ENG/ENGsub	NTSC	1h30m11s	DVD	full DVD + extras	0	false
Get Mean	1975	tt0074570	DVD9	ENG/ENGsub	NTSC	1h30m11s	DVD	full DVD + extras	0	false
Giallo a Venezia	1979	tt0079207	BD25	ITA/GER/ENGsub	PAL	---	Bluray	full bluray	449	false
Giallo a Venezia	1979	tt0079207	DVD5	ITA	PAL	1h38m56s	VHS	uncut composite	162	false
Giallo alla regola	1988	tt0121320	DVD5	ITA/ENGhardsub	PAL	1h29m30s	VHS	none	447	false
Giarrettiera Colt	1968	tt0176754	DVD5	ITA	NTSC	1h27m24s	DVD	full DVD + extras	640	false
Gingakei (Galaxy)	1967	tt0239429	DVD5	JAP/ENGsub	NTSC	1h10m36s	Telecine	none	0	false
Ginseng King	1989	tt0122088	DVD5	THAI/JAPsub/ENGsub	NTSC	1h25m22s	VHS	[ASIA]	63	false
Giochi carnali	1983	tt0189551	DVD5	ITA/ENGsub	PAL	1h48m05s	VHS	none	566	false
Giochi erotici di una famiglia per bene	1975	tt0122505	DVD5	ITA	PAL	1h44m31s	Telecine	20min ca. blank tape	318	false
Giorni d'amore su un filo di lana	1973	tt0070110	DVD5	ITA	PAL	---	Super8	from master	49	false
Giro girotondo... con il sesso è bello il mondo	1975	tt0122508	DVD5	ITA	PAL	1h13m32s	Telecine	none	27	false
Giù la testa...hombre	1971	tt0067011	DVD5	ITA/ITAsub	PAL	1h26m37s	DVD	full DVD	339	false
Gli angeli del 2000	1969	tt0204820	DVD5	ITA	PAL	1h31m46s	Telecine	none	597	false
Gli eroi del kung fu	1980	tt0198791	DVD5	ITA	PAL	1h28m15s	DVD	[ASIA] full DVD	358	false
Gli fumavano le Colt... lo chiamavano Camposanto	1971	tt0067142	DVD5	ITA/ENGsub	PAL	1h29m57s	DVD	full DVD + extras	596	false
Gli orrori del museo nero	1959	tt0052901	DVD5	ITA/ENG	PAL	1h18m13s	DVD	full DVD + extras	602	false
Gli specialisti	1969	tt0065026	DVD5	ITA/ENGsub	NTSC	1h38m56s	DVD	none	329	false
Gli uccisori	1977	tt0075362	DVD5	ITA	PAL	1h25m55s	VHS	none	467	false
Gli uccisori	1977	tt0075362	DVD5	ITA	PAL	1h26m00s	Telecine	restored version	697	false
Gli uomini di Marte	1976	tt1948043	DVD5	ITA	PAL	1h22m03s	VHS	[ASIA]	1	false
Godzilla - Ai confini della realtà	1973	tt0070122	DVD5	ITA	PAL	1h18m11s	DVD	[ASIA] full DVD	354	false
Godzilla – Distruggete Kong! La terra è in pericolo	1975	tt0073373	DVD5	ITA	PAL	1h18m36s	DVD	[ASIA] full DVD	351	false
Godzilla – Furia di mostri	1971	tt0067148	DVD5	ITA	PAL	1h21m32s	DVD	[ASIA] full DVD	350	false
Godzilla contro i giganti	1972	tt0068371	DVD5	ITA	PAL	1h25m19s	DVD	[ASIA] full DVD	352	false
Godzilla contro i robot	1974	tt0071565	DVD9	ITA	PAL	1h20m47s	DVD	[ASIA] full DVD	476	false
Goldface il fantastico Superman	1967	tt0064375	DVD5	ITA	PAL	---	Telecine	none	53	false
Goldface il fantastico Superman	1967	tt0064375	DVD5	ITA	PAL	1h29m39s	DVD + Telecine	custom mux	380	false
Grida di estasi / Sesso delirio	1973	tt2337879	DVD5	ITA/ENGsub	NTSC	1h27m13s	VHS	none	0	false
Guerra spaziale	1977	tt0076902	DVD5	ITA	PAL	1h30m19s	DVD	[ASIA] full DVD + extras	495	false
Gulliver	1979	tt0074596	DVD5	ESP	NTSC	1h39m17s	VHS	none	0	false
Hallo Ward!...E furono vacanze in sangue	1968	tt0063232	DVD5	ITA	PAL	1h28m54s	Telecine	none	181	false
Häxan - La stregoneria attraverso i secoli	192	tt0013257	DVD9	SWE/ENG/ENGsub	NTSC	1h45m08s + 1h16m38s	DVD	full Criterion DVD	459	false
Hearts of Fire	1987	tt0093163	DVD5	ENG	NTSC	1h35m05s	VHS	none	758	false
Heaven and earth magic	1962	tt0056060	DVD5	ENG	NTSC	1h32m30s	VHS	30mins ca. blank tape	768	false
Hobitit	1993	tt0441925	DVD5	FIN/ENGsub	PAL	---	TV	none	226	false
Hong Kil-dong	1986	tt0254387	DVD5	KOR/ENGsub	PAL	1h44m32s	DVD	[ASIA]	494	false
I 12 medaglioni	1970	tt0192601	DVD9	ITA/ITA5.1	PAL	1h41m29s	DVD	[ASIA] full DVD + extras	0	false
I 13 figli del drago verde	1970	tt0070684	DVD9	ITA/ITA5.1	PAL	2h01m14s	DVD	[ASIA] full DVD + extras	0	false
I 7 diavoli del Tai-Kik	1971	tt1289845	DVD5	ITA	PAL	1h26m11s	VHS + TV	[ASIA] custom uncut mux	482	false
I Am Here... Now	2009	tt1560653	DVD5	ENG	NTSC	1h26m21s	DVD	none	716	false
I barbari	1987	tt0092615	DVD9	ITA/ENG	PAL	1h23m29s	DVD	full DVD + extras	390	false
I bastardi	1968	tt0062712	DVD5	ITA/ENG	PAL	1h27m41s	TV	uncut	611	false
I contrabbandieri di Santa Lucia	1979	tt0078995	DVD5	ITA	PAL	1h28m12s	DVD	full DVD	550	false
I criminali della galassia	1966	tt0059914	DVD5	ITA	PAL	1h28m30s	DVD	full DVD	417	false
I diafanoidi vengono da Marte	1966	tt0059101	DVD5	ITA/ITAsub	PAL	1h31m36s	DVD	full DVD	418	false
I figli dello spazio	1958	tt0052227	DVD5	ITA/ENG/ITAsub	PAL	1h05m56s	DVD	full DVD	334	false
I giganti del karaté	1976	tt0075202	DVD5	ITA	PAL	1h56m35s	DVD	[ASIA] full DVD	357	false
I lunghi giorni della vendetta (Faccia d'angelo)	1967	tt0060641	DVD9	ITA/ENG/GER/ESP	PAL	1h57m11s + 1h29m51s	DVD	full DVD + extras + uncut and cut versions	609	false
I misteri della magia nera	1958	tt0050712	DVD5	ITA/ESP	PAL	1h10m26s	DVD	full DVD + extras	0	false
I misteriani	1957	tt0050251	DVD5	ITA	PAL	1h24m56s	DVD	full DVD + extras	579	false
I nuvoloni	1963	noIMDb	DVD5	ITA	PAL	1h21m37s	Telecine	none	245	false
I piaceri delle demoni	1970	tt0218904	DVD5	ITA/ENGsub	PAL	1h22m34s	DVD	full DVD	320	false
I ragazzi di Torino sognano Tokyo e vanno a Berlino	1985	tt0202540	DVD5	ITA	PAL	---	VHS	none	81	false
I satelliti contro la Terra	1957	tt0049809	DVD5	ITA/JAP/ITAsub	PAL	1h10m18s	DVD	full DVD + extras	673	false
I segreti delle città più nude del mondo	1971	tt0203870	DVD5	ITA/ENGsub	PAL	1h28m42s	VHS	none	10	false
I sette nani alla riscossa	1951	tt0044023	DVD5	ITA	PAL	1h21m25s	DVD	none	167	false
I sette navigatori dello spazio	1962	tt0056352	DVD5	ITA/ITAsub	PAL	1h18m34s	DVD	full DVD + extras	0	false
I sette navigatori dello spazio	1962	tt0056352	DVD5	ITA/RUS/ITAsubs	PAL	1h18m35s	DVD	full DVD + extras	578	false
I tre che sconvolsero il West (Vado, vedo e sparo)	1968	tt0063754	DVD5	ITA	PAL	1h31m19s	DVD	full DVD	0	false
I tre magnifici del karatè	1973	tt1053337	DVD5	ITA	PAL	1h13m31s	VHS	[ASIA] + trailer	314	false
I vizi segreti degli Italiani quando credono di non essere visti	1987	noIMDb	DVD5	ITA	PAL	1h22m39s	VHS	none	676	false
I vizi segreti della donna nel mondo	1972	tt0216378	DVD5	ITA	PAL	1h38m41s	Telecine	none	682	false
Il banchetto di Platone	1989	tt0344893	DVD5	ITA/ENGsub	PAL	---	DVD	none	70	false
Il boia scarlatto	1965	tt0058983	DVD9	ITA/FRE	PAL	1h222m50s	DVD	full DVD + extras	0	false
Il bosco 1 (25th anniversary ed.)	1988	tt0097307	DVD5	ITA	PAL	1h23m52s + 1h22m09s	DVD	Disc 01	153	false
Il bosco 1 (25th anniversary ed.)	1988	tt0097307	DVD5	ITA	PAL	1h23m52s + 1h22m09s	DVD	Disc 02: extras	154	false
Il braccio violento del Thay-Pan	1978	noIMDb	DVD5	ITA	PAL	---	TV	composite movie made from “Lady Whirlwind”, “Crush”, “Blind Boxer”	769	false
Il cane infernale - Devil Dog	1978	tt0077429	DVD5	ITA/ENG	PAL	1h31m19s	DVD	full DVD + extras	405	false
Il cavaliere, la morte e il diavolo	1985	tt0161412	DVD5	ITA	PAL	---	TV	none	42	false
Il cinema della paura	1986	NOimdb	DVD5	ITA	PAL	2h23m0s	TV	3parts docu on Ita horror	124	false
Il decamerone proibito	1972	tt0068465	DVD5	ITA	PAL	1h25m29s	VHS	none	280	false
Il demonio nel cervello	1976	tt0204257	DVD5	ITA	PAL	1h19m32s	Telecine	none	24	false
Il diario segreto di una minorenne	1968	tt0168651	DVD5	ITA	PAL	1h19m12s	Telecine	none	164	false
Il diavolo nel cervello	1972	tt0068484	DVD5	ITA	PAL	1h39m46s	TV	none	610	false
Il dio chiamato Dorian	1970	tt0065656	DVD5	ITA/ENG	PAL	1h37m04s	DVD	full DVD + extras	719	false
Il dio sotto la pelle	1974	tt0168662	DVD5	ITA	PAL	1h35m48s	Telecine	none	692	false
Il fango verde	1968	tt0064393	DVD5	ITA/ENG	PAL	1h26m22s	DVD	[ASIA] full DVD	311	false
Il figlio di Gozilla	1967	tt0061856	DVD5	ITA	PAL	1h21m09s	DVD	[ASIA] full DVD	353	false
Il furore della Cina colpisce ancora	1971	tt0067824	DVD5	ITA	PAL	1h35m18s	DVD	[ASIA] full DVD	473	false
Il gigante dell'Himalaya	1977	tt0076164	DVD5	ITA	PAL	1h26m15s	DVD	full DVD + extras	647	false
Il gigante di Metropolis	1961	tt0054924	DVD5	ITA/RUS	PAL	1h26m54s	DVD	none	364	false
Il gioco della notte	1993	tt2699216	DVD5	ITA	PAL	1h35m25s	VHS	none	152	false
Il giorno dei Trifidi – L'invasione dei mostri verdi	1962	tt0055894	DVD5	ITA/ENG	PAL	1h26m20s	DVD	full DVD	360	false
Il giovane Tigre	1973	tt0081794	DVD5	ITA/ENG	PAL	1h27m26s	DVD	[ASIA] full DVD	479	false
Il giro del mondo degli innamorati di Peynet	1974	tt0178501	DVD5	ITA/JAP	PAL	1h24m19s	DVD	full DVD + extras	675	false
Il giustiziere giallo	1972	tt1511521	DVD5	ITA	PAL	1h23m26s	Telecine	[ASIA]	264	false
Il grande addio	1954	tt0045835	DVD5	ITA	PAL	1h21m18s	DTT	none	662	false
Il grande colpo dei 7 uomini d'oro	1966	tt0061726	DVD5	ITA	NTSC	1h37m03s	DVD	full DVD + extras	630	false
Il licantropo e lo yeti	1975	tt0073338	DVD5	ITA	PAL	1h23m35s	DVD	full DVD	211	false
Il mio corpo per un poker	1968	tt0061981	DVD5	ITA/FRE/GER	PAL	1h31m44s	DVD	full DVD + extras	395	false
Il mio corpo sul tuo corpo (aka Il pittore omicida)	1975	tt0263609	DVD5	ITA	PAL	1h03m21s	VHS	none	172	false
Il mio nome è Shangai Joe	1973	tt0068954	DVD5	ITA/ENG/GER	PAL	1h34m15s	DVD	full DVD	290	false
Il mistero del panino assassino	1987	tt0393485	DVD5	ITA	PAL	1h30m44s	TV	none	34	false
Il mondo dei robot - Westworld	1973	tt0070909	BD25	ENG/ITA	PAL	1h28m48s	Bluray	full BR	461	false
Il mondo perverso di Beatrice	1982	noIMDb	DVD5	ITA	PAL	1h03m57s	Telecine	copia censura	706	false
Il mostro dell'opera	1964	tt0058377	DVD9	ITA/FRE/ENGsub	PAL	---	DVD	full DVD	186	false
Il padrino di Chinatown	1977	tt0076797	DVD5	ITA	PAL	1h48m38s	DVD	[ASIA] full DVD	471	false
Il pianeta degli uomini spenti	1961	tt0054950	DVD5	ITA/ENG	NTSC	1h33m27s	DVD	uncut full DVD	0	false
Il pianeta degli uomini spenti	1961	tt0054950	DVD5	ITA	PAL	1h33m32s	DVD	full DVD	526	false
Il pianeta dei dinosauri	1977	tt0078089	DVD5	ITA	PAL	1h20m15s	DVD	full DVD	356	false
Il pianeta errante	1966	tt0059588	DVD5	ITA	PAL	1h18m48s	DVD	full DVD	419	false
Il pianeta proibito	1952	tt0049223	DVD5	ITA/ENGsub/ITAsub	PAL	1h34m25s	DVD	full DVD	363	false
Il piccolo testimone dell'Orient Express	1972	tt0206867	DVD5	ITA	PAL	---	VHS	none	145	false
Il primo premio si chiama Irene (aka Danimarca - L'incredibile realtà della nuova morale)	1969	tt0195184	DVD5	ITA	PAL	1h32m07s	Telecine	none	366	false
Il re della mala	1973	tt0070951	DVD9	ITA/ENGsub	PAL	1h17m03s	DVD	full DVD + extras	498	false
Il risveglio della mummia (La momia azteca)	1957	tt0050718	DVD9	ITA/ITAsub/ESP	PAL	---	DVD	none	128	false
Il ritorno di Diavolik	1966	tt0167320	DVD5	ITA/JAP	PAL	1h12m56s	DVD	[ASIA] retail DVD	0	false
Il ritorno di Godzilla	1966	tt0060464	DVD5	ITA/JAP	PAL	1h19m15s	DVD	[ASIA] full DVD	355	false
Il ritorno di Gorgo (Il figlio di Godzilla)	1967	tt0061856	DVD5	ITA	PAL	---	DVD	[ASIA] full DVD, correct AR	0	false
Il segreto della palma d'acciaio	1973	tt1404408	DVD5	ITA	PAL	1h14m24s	Telecine	[ASIA]	313	false
Il sesso del diavolo - Trittico	1971	tt0067879	DVD5	ITA/ENGsub	PAL	1h28m40s	Telecine	none	277	false
Il sesso della strega	1973	tt0195248	DVD9	ITA/ENGsub	PAL	1h21m16s	DVD	full DVD + extras	492	false
Il silenzio dei prosciutti	1994	tt0111190	DVD5	ITA/ENG	PAL	---	DVD	none	59	false
Il sottile fascino del peccato	2010	tt2319867	DVD5	ITA/ENGsub	PAL	1h26m48s	DVD	none	179	false
Il suo nome era Pot, ma lo chiamavano Allegria!	1971	tt0067806	DVD5	ITA	PAL	1h19m56s	TV	none	346	false
Il suo nome faceva tremare... Interpol in allarme! aka Dio, sei proprio un padreterno!	1973	tt0069979	DVD5	ITA/ENG	PAL	1h35m48s	DVD	full DVD	588	false
Il tempo degli avvoltoi	1967	tt0062350	DVD5	ITA	PAL	1h31m30s	DVD	none	515	false
Il terno a letto	1980	tt0210349	DVD5	ITA	PAL	1h24m59s	Telecine	none	269	false
Il terribile ispettore	1969	tt0210353	DVD5	ITA	PAL	1h30m13s	DVD	full DVD	740	false
Il terrore viene d'oltretomba (La momia azteca contra el robot humano)	1958	tt0050717	DVD5	ITA/ITAsub/ESP	PAL	1h01m28s	DVD	none	129	false
Il tesoro di Dracula (aka Vita sessuale di un vampiro)	1969	tt0208504	DVD5	ITA	PAL	1h20m02s	TV	none	209	false
Il testimone deve tacere	1974	tt0179463	DVD5	ITA/ENG	PAL	1h32m10s	DTT	none	503	false
Il torcinaso; Quando il sangue diventa bollente	1975	tt0186630	DVD5	ITA	PAL	1h31m29s	Telecine	none	135	false
Il trionfo di King Kong	1962	tt0056142	DVD5	ITA/ENG	PAL	1h12m32s	DVD	[ASIA] full DVD	288	false
Il vangelo secondo San Frediano	1978	tt0215304	DVD5	ITA	PAL	1h43m13s	Super8	none	286	false
Il vizio ha le calze nere	1975	tt0073871	DVD5	ITA	PAL	1h16m12s	VHS	B.VANI” watermark version	221	false
In nome del padre, del figlio e della Colt	1971	tt0071883	DVD5	ITA	PAL	1h19m46s	DTT	none	0	false
In piena luce	1971	tt0067240	DVD5	ITA/ENG	PAL	1h08m06s	DVD	full DVD + extras	641	false
In punta di piedi aka Street dance	1984	tt0179864	DVD5	ITA	PAL	---	TV	none	69	false
Inframan – L'altra dimensione	1975	tt0073168	DVD5	ITA	NTSC	1h24m35s	DVD	[ASIA] custom mux	343	false
Insegnami ad uccidere (Turkish Karate Girl/Kareteci kiz)	1974	tt0278527	DVD5	ITA	PAL	1h25m40s	VHS	none	101	false
Intikam Benim (Big risk)	1983	tt2431918	DVD5	TUR/ENGsub	PAL	1h16m07s	VHS	new VHS2DVD transfer	0	false
Intikamci (The avenger)	1986	NOimdb	DVD5	TUR/ENGsub	PAL	1h54m43s	VHS	new VHS2DVD transfer	250	false
Intrighi tra le stelle	1976	tt0071285	DVD5	ITA	PAL	0h59m24s	TV	none	132	false
Intrigo	1984	NOimdb	DVD5	ITA	PAL	36m51s+36m34s	U-matic	none	26	false
Invasori dall'altro mondo	1957	tt0050545	DVD5	ITA/ENG/ITAsub	PAL	1h06m32s	DVD	full DVD	336	false
Io cristiana studentessa degli scandali	1971	tt0067255	DVD5	ITA	PAL	1h30m05s	DTT	custom uncut mux	539	false
Io monaca... per tre carogne e sette peccatrici	1972	tt0069784	DVD5	ITA	PAL	1h29m00s	VHS	uncut	184	false
Isaac Asimov's Robots VCR Mystery Game	1988	tt0174170	DVD5	ENG	NTSC	0h45m11s	VHS	full tabletop game with scans	702	false
Ispettore Karatè contro l'anonima sequestri	1973	tt1325660	DVD5	ITA	PAL	1h27m59s	VHS	[ASIA]	372	false
Italia a mano armata	1976	tt0179901	DVD5	ITA/ENG	PAL	1h37m08s	DTT	none	0	false
Italian boys	1983	tt0223550	DVD5	ITA	PAL	1h27m35s	VHS	none	92	false
Italiani come noi	1964	tt0369590	DVD5	ITA	PAL	1h28m16s	TV	none	310	false
Joe l'implacabile	1967	tt0061572	DVD9	ITA/FRE	PAL	1h35m30s	DVD	full DVD + extras	0	false
Jolly Blu	1998	tt0170082	DVD5	ITA	PAL	1h29m06s	VHS	none	766	none
Kadin düsmani (Woman despiser)	1967	tt0431176	DVD5	TUR/ENGsub	PAL	1h29m27s	DVD	full DVD + extras	206	false
Kani Goalkeeper (Crab Goalkeeper)	2006	tt1076820	DVD9	JAP/ENGsub/ITAsub	PAL	1h19m58s	DVD	[ASIA] full DVD	0	false
Karamurat, la belva dell'Anatolia (Kara Murat seyh gaffar'a karsi)	1976	tt0125815	DVD5	ITA	PAL	1h23m32s	DVD	none	165	false
Karaoglan - Altay'dan gelen yigit (The Hero Came from Altai)	1965	tt0273705	DVD5	TUR/ITAsub/ENGsub	PAL	1h30m06s	DVD	none	168	false
Karaoglan - Baybora'nin oglu (Baybora's Son)	1966	tt0277064	DVD5	TUR/ITAsub/ENGsub	PAL	1h07m01s	DVD	none	169	false
Karaoglan - Bizansli zorba (Tyrant of Byzantium)	1967	tt0277065	DVD5	TUR/ITAsub/ENGsub	PAL	1h07m46s	DVD	none	170	false
Karaoglan - Camokanin intikami (Camoka's Revenge)	1966	tt0277066	DVD5	TUR/ITAsub/ENGsub	PAL	1h10m02s	DVD	none	171	false
Karaté a Shanghai	1974	tt0165204	DVD5	ITA	PAL	1h24m11s	TV	[ASIA]	312	false
Karzan contro le donne dal seno nudo	1974	tt0070118	DVD5	ITA/ENGsub	PAL	1h10m03s	DVD	full DVD	202	false
Katango: uragano sulla metropoli	1966	tt0060440	DVD9	ITA	PAL	1h27m56s	DVD	[ASIA] full DVD + extras	603	false
Kilic aslan (Turkish Lion Man)	1975	tt0181966	DVD5	ENG/ITAsub	PAL	---	VHS	none	102	false
Kilink Istanbul'da (Turkish Kriminal)	1967	tt0292053	DVD5	TUR/ENGsub	PAL	---	DVD	none	113	false
Kilink soy ve öldür (Turkish Kriminal: Strip and Kill)	1967	tt0392276	DVD5	TUR/ENGsub	PAL	---	DVD	none	114	false
Kilink uçan adama karsi (Turkish Kriminal vs. Superman)	1967	tt0311396	DVD5	TUR/ENGsub	PAL	---	DVD	none	114	false
Killer contro killers	1985	tt0304290	DVD5	ITA	PAL	1h25m46s	DVD	none	448	false
Killer nelle notti di pioggia	1972	tt1227194	DVD5	ITA	PAL	1h22m00s	VHS	none	654	false
King Kong il gigante della foresta	1967	tt0061868	DVD9	ITA/JAP	PAL	1h44m01s	DVD	[ASIA] full DVD	475	false
Kiskivrak (Abducted)	1986	tt1957941	DVD5	TUR/ENGsub	PAL	1h32m11s	VHS	none	182	false
Kizi da anasi gibi (Curse of the Red Butterfly)	1980	tt0492099	DVD5	ENG/JAPhardsub	NTSC	1h20m42s	VHS	none	0	false
Kiziltug - Cengiz Han (Red Plume - Genghis Khan)	1952	tt0319691	DVD5	TUR/ENGsub	PAL	1h15m18s	DVD	full DVD + extras	255	false
Klon	1994	tt0198601	DVD5	ITA	PAL	1h25m13s	TV	none	149	false
Korang, la terrificante bestia umana	1969	tt0063090	DVD5	ITA	PAL	1h17m25s	DVD	full DVD	470	false
Korkusuz (Rampage; aka Turkish Rambo)	1986	tt1355207	DVD5	ENG	NTSC	1h12m11s	DVD	full DVD + extras	690	false
Korkusuz (Turkish Rambo)	1986	tt1355207	DVD5	ENG/ENGsub	NTSC	1h12m11s	DVD	full DVD + extras	0	false
